iter	Passed	Remaining
471	677	757
472	678	755
473	679	753
474	680	751
475	680	749
476	681	747
477	682	745
478	683	743
479	684	741
480	685	739
481	686	737
482	687	736
483	689	734
484	690	732
485	691	731
486	692	729
487	693	727
488	694	725
489	694	723
490	695	721
491	696	719
492	697	717
493	698	715
494	699	713
495	700	711
496	701	709
497	703	708
498	703	706
499	704	704
500	705	702
501	706	700
502	707	699
503	708	697
504	709	695
505	710	693
506	711	691
507	712	689
508	712	687
509	713	685
510	714	683
511	715	682
512	716	680
513	717	678
514	718	676
515	719	674
516	720	672
517	721	670
518	721	669
519	722	667
520	723	665
521	724	663
522	725	661
523	726	659
524	727	657
525	728	656
526	729	654
527	730	652
528	731	651
529	732	649
530	733	647
531	734	645
532	734	643
533	735	642
534	736	640
535	737	638
536	738	636
537	739	634
538	740	632
539	740	631
540	742	629
541	743	627
542	744	626
543	746	625
544	747	624
545	748	622
546	749	620
547	750	618
548	751	617
549	752	615
550	752	613
551	753	611
552	754	610
553	755	608
554	756	606
555	757	604
556	758	603
557	759	601
558	760	600
559	761	598
560	762	596
561	763	595
562	764	593
563	765	591
564	766	589
565	767	588
566	768	586
567	768	584
568	769	583
569	770	581
570	771	579
571	772	577
572	773	576
573	774	574
574	775	573
575	776	571
576	777	569
577	778	568
578	779	566
579	780	565
580	781	563
581	782	561
582	783	560
583	783	558
584	784	556
585	785	554
586	786	553
587	787	551
588	788	550
589	789	548
590	790	546
591	791	545
592	792	543
593	792	541
594	793	540
595	794	538
596	795	537
597	796	535
598	797	534
599	798	532
600	799	530
601	800	529
602	801	527
603	802	526
604	803	524
605	804	523
606	805	521
607	806	519
608	807	518
609	808	516
610	809	515
611	810	513
612	811	512
613	811	510
614	812	508
615	813	507
616	814	505
617	815	504
618	817	503
619	818	501
620	819	500
621	820	498
622	821	497
623	822	495
624	823	494
625	824	492
626	825	490
627	825	489
628	826	487
629	827	486
630	828	484
631	829	483
632	830	481
633	832	480
634	833	478
635	834	477
636	835	475
637	836	474
638	837	472
639	838	471
640	839	470
641	840	468
642	841	467
643	842	465
644	843	464
645	844	463
646	846	461
647	847	460
648	849	459
649	850	457
650	851	456
651	852	454
652	853	453
653	854	451
654	855	450
655	856	448
656	856	447
657	857	445
658	858	444
659	859	442
660	860	441
661	862	440
662	863	438
663	864	437
664	865	435
665	866	434
666	866	432
667	867	431
668	868	429
669	869	428
670	870	426
671	871	425
672	871	423
673	873	422
674	874	420
675	875	419
676	876	418
677	877	416
678	878	415
679	879	413
680	880	412
681	881	410
682	882	409
683	883	408
684	884	406
685	885	405
686	885	403
687	886	402
688	888	400
689	889	399
690	890	398
691	891	396
692	892	395
693	893	393
694	894	392
695	895	390
696	896	389
697	897	388
698	898	386
699	899	385
700	900	383
701	900	382
702	902	381
703	903	379
704	904	378
705	905	376
706	906	375
707	907	374
708	908	372
709	909	371
710	909	369
711	910	368
712	911	367
713	912	365
714	913	364
715	914	362
716	915	361
717	917	360
718	918	358
719	919	357
720	920	356
721	921	354
722	922	353
723	922	351
724	923	350
725	924	349
726	925	347
727	926	346
728	927	344
729	928	343
730	930	342
731	931	341
732	932	339
733	933	338
734	934	336
735	935	335
736	936	334
737	937	332
738	938	331
739	939	329
740	939	328
741	940	327
742	941	325
743	942	324
744	944	323
745	945	321
746	946	320
747	947	319
748	948	317
749	949	316
750	950	315
751	951	313
752	952	312
753	953	311
754	954	309
755	955	308
756	955	306
757	956	305
758	957	304
759	958	302
760	960	301
761	961	300
762	961	298
763	962	297
764	964	296
765	964	294
766	965	293
767	966	292
768	967	290
769	968	289
770	969	287
771	970	286
772	971	285
773	972	284
774	974	282
775	974	281
776	975	280
777	976	278
778	977	277
779	978	276
780	979	274
781	980	273
782	981	271
783	982	270
784	982	269
785	984	267
786	985	266
787	986	265
788	987	264
789	988	262
790	989	261
791	990	260
792	991	258
793	992	257
794	993	256
795	994	254
796	995	253
797	995	252
798	996	250
799	998	249
800	999	248
801	999	246
802	1000	245
803	1002	244
804	1003	243
805	1004	241
806	1005	240
807	1006	239
808	1007	237
809	1008	236
810	1008	235
811	1009	233
812	1010	232
813	1011	231
814	1012	229
815	1013	228
816	1014	227
817	1015	225
818	1016	224
819	1017	223
820	1018	222
821	1019	220
822	1020	219
823	1021	218
824	1022	216
825	1023	215
826	1024	214
827	1025	212
828	1026	211
829	1027	210
830	1028	209
831	1029	207
832	1030	206
833	1031	205
834	1032	204
835	1033	202
836	1034	201
837	1035	200
838	1036	198
839	1037	197
840	1038	196
841	1039	195
842	1040	193
843	1041	192
844	1041	191
845	1042	189
846	1043	188
847	1045	187
848	1045	186
849	1046	184
850	1047	183
851	1048	182
852	1049	180
853	1050	179
854	1051	178
855	1052	176
856	1052	175
857	1053	174
858	1054	173
859	1055	171
860	1056	170
861	1057	169
862	1058	168
863	1059	166
864	1060	165
865	1061	164
866	1062	162
867	1063	161
868	1064	160
869	1065	159
870	1066	157
871	1067	156
872	1067	155
873	1068	154
874	1069	152
875	1070	151
876	1071	150
877	1072	149
878	1074	147
879	1074	146
880	1075	145
881	1076	144
882	1077	142
883	1078	141
884	1079	140
885	1080	139
886	1081	137
887	1082	136
888	1083	135
889	1084	134
890	1085	132
891	1086	131
892	1088	130
893	1089	129
894	1089	127
895	1090	126
896	1091	125
897	1092	124
898	1093	122
899	1094	121
900	1095	120
901	1096	119
902	1097	117
903	1098	116
904	1099	115
905	1100	114
906	1101	112
907	1102	111
908	1103	110
909	1104	109
910	1105	107
911	1106	106
912	1107	105
913	1108	104
914	1109	103
915	1110	101
916	1111	100
917	1112	99
918	1113	98
919	1113	96
920	1114	95
921	1116	94
922	1117	93
923	1118	91
924	1119	90
925	1120	89
926	1121	88
927	1122	87
928	1123	85
929	1124	84
930	1125	83
931	1126	82
932	1127	80
933	1127	79
934	1128	78
935	1130	77
936	1131	76
937	1132	74
938	1133	73
939	1134	72
940	1136	71
941	1136	70
942	1137	68
943	1138	67
944	1139	66
945	1140	65
946	1141	63
947	1142	62
948	1143	61
949	1145	60
950	1146	59
951	1147	57
952	1148	56
953	1149	55
954	1150	54
955	1151	52
956	1152	51
957	1153	50
958	1154	49
959	1155	48
960	1156	46
961	1157	45
962	1158	44
963	1159	43
964	1160	42
965	1161	40
966	1162	39
967	1163	38
968	1164	37
969	1165	36
970	1166	34
971	1167	33
972	1168	32
973	1169	31
974	1170	30
975	1170	28
976	1171	27
977	1173	26
978	1174	25
979	1175	23
980	1176	22
981	1177	21
982	1178	20
983	1179	19
984	1180	17
985	1181	16
986	1182	15
987	1183	14
988	1184	13
989	1185	11
990	1186	10
991	1187	9
992	1188	8
993	1189	7
994	1190	5
995	1191	4
996	1192	3
997	1193	2
998	1194	1
999	1195	0
